product_id,pubchem_cid,iupac_name,functional_description,sync_failed,sync_failed_reason,last_sync_attempt,last_sync_success
28,259846,"(1R,3aR,5aR,5bR,7aR,9S,11aR,11bR,13aR,13bR)-3a,5a,5b,8,8,11a-hexamethyl-1-prop-1-en-2-yl-1,2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a,13b-hexadecahydrocyclopenta[a]chrysen-9-ol","Lupeol is a pentacyclic triterpenoid that is lupane in which the hydrogen at the 3beta position is substituted by a hydroxy group. It occurs in the skin of lupin seeds, as well as in the latex of fig trees and of rubber plants. It is also found in many edible fruits and vegetables. It has a role as an anti-inflammatory drug and a plant metabolite. It is a pentacyclic triterpenoid and a secondary alcohol. It derives from a hydride of a lupane.",0,,2026-03-23 22:53:08.038108,2026-04-20 23:34:59
29,73641,"(4aS,6aR,6aS,6bR,8aR,9R,10R,11R,12aR,14bS)-10,11-dihydroxy-9-(hydroxymethyl)-2,2,6a,6b,9,12a-hexamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylic acid","Arjunolic acid is a pentacyclic triterpenoid that is olean-12-en-28-oic acid substituted by hydroxy groups at positions 2, 3 and 23 (the 2alpha,3beta stereoisomer). Isolated from Symplocos lancifolia and Juglans sinensis, it exhibits antioxidant and antimicrobial activities. It has a role as an antioxidant, a metabolite, an antibacterial agent and an antifungal agent. It is a pentacyclic triterpenoid and a hydroxy monocarboxylic acid. It is a conjugate acid of an arjunolate. It derives from a hydride of an oleanane.",0,,2026-03-23 22:53:16.247430,2026-03-23 22:53:21.905854
30,446925,"(6E,8E,10E,12E,14E,16E,18E,20E,22E,24E,26E)-2,6,10,14,19,23,27,31-octamethyldotriaconta-2,6,8,10,12,14,16,18,20,22,24,26,30-tridecaene",Lycopene is an acyclic carotene commonly obtained from tomatoes and other red fruits. It has a role as an antioxidant and a plant metabolite. It contains a carotenoid psi-end derivative.,0,,2026-03-23 22:53:22.914205,2026-04-20 23:35:02
31,,,,1,未找到匹配的PubChem化合物,2026-03-25 22:57:42.366188,
32,5281227,"2,4,4-trimethyl-3-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-3,7,12,16-tetramethyl-18-(2,6,6-trimethyl-3-oxocyclohexen-1-yl)octadeca-1,3,5,7,9,11,13,15,17-nonaenyl]cyclohex-2-en-1-one","Canthaxanthin is a carotenone that consists of beta,beta-carotene bearing two oxo substituents at positions 4 and 4'. It has a role as a biological pigment, a fungal metabolite, an Escherichia coli metabolite and a food colouring. It derives from a hydride of a beta-carotene.",0,,2026-03-23 22:53:34.280155,2026-04-20 23:35:05
33,5280899,"(1R)-4-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-18-[(4R)-4-hydroxy-2,6,6-trimethyl-cyclohexen-1-yl]-3,7,12,16-tetramethyl-octadeca-1,3,5,7,9,11,13,15,17-nonaenyl]-3,5,5-trimethyl-cyclohex-3-en-1-ol","Zeaxanthin is a carotenol. It has a role as an antioxidant, a cofactor and a bacterial metabolite. It derives from a hydride of a beta-carotene.",0,,2026-03-23 22:53:45.908085,2026-03-23 22:53:56.377525
34,5281224,"(6S)-6-hydroxy-3-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-18-[(4S)-4-hydroxy-2,6,6-trimethyl-3-oxocyclohexen-1-yl]-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaenyl]-2,4,4-trimethylcyclohex-2-en-1-one","Astaxanthin is a carotenone that consists of beta,beta-carotene-4,4'-dione bearing two hydroxy substituents at positions 3 and 3' (the 3S,3'S diastereomer). A carotenoid pigment found mainly in animals (crustaceans, echinoderms) but also occurring in plants. It can occur free (as a red pigment), as an ester, or as a blue, brown or green chromoprotein. It has a role as an antioxidant, an anticoagulant, an animal metabolite, a plant metabolite and a food colouring. It is a carotenol and a carotenone. It derives from a hydride of a beta-carotene.",0,,2026-03-23 22:53:57.388076,2026-04-20 23:35:14
35,,,,1,未找到匹配的PubChem化合物,2026-03-25 22:58:04.194315,
36,6466,"(1R,2R,5S,8S,9S,10R,11S,12S)-5,12-dihydroxy-11-methyl-6-methylidene-16-oxo-15-oxapentacyclo[9.3.2.15,8.01,10.02,8]heptadec-13-ene-9-carboxylic acid","Gibberellin A3 is a C19-gibberellin that is a pentacyclic diterpenoid responsible for promoting growth and elongation of cells in plants. Initially identified in Gibberella fujikuroi,it differs from gibberellin A1 in the presence of a double bond between C-3 and C-4. It has a role as a mouse metabolite and a plant metabolite. It is a C19-gibberellin, a lactone, an organic heteropentacyclic compound and a gibberellin monocarboxylic acid. It is a conjugate acid of a gibberellin A3(1-).",0,,2026-03-23 22:54:07.015342,2026-04-20 23:35:16
37,92109,"(1R,2R,5R,8R,9S,10R,11S,12S)-12-hydroxy-11-methyl-6-methylene-16-oxo-15-oxapentacyclo[9.3.2.15,8.01,10.02,8]heptadecane-9-carboxylic acid","Gibberellin A4 is a C19-gibberellin, initially identified in Gibberella fujikuroi and differing from gibberellin A1 by the substitution of the OH at C-7 (gibbane numbering) by H. It has a role as a plant metabolite. It is a C19-gibberellin, a lactone and a gibberellin monocarboxylic acid. It is a conjugate acid of a gibberellin A4(1-).",0,,2026-03-23 22:54:26.567758,2026-03-23 22:54:34.521626
38,5281984,"(1R,2R,5R,8R,9S,10R,11R)-11-methyl-6-methylene-16-oxo-15-oxapentacyclo[9.3.2.15,8.01,10.02,8]heptadecane-9-carboxylic acid","Gibberellin A9 is a C19-gibberellin that is a pentacyclic diterpenoid responsible for promoting growth and elongation of cells in plants. Initially identified in Gibberella fujikuroi it differs from gibberellin A1 in the absence of OH groups at C-2 and C-7 (gibbane numberings). It has a role as a mouse metabolite and a plant metabolite. It is a C19-gibberellin, a lactone and a gibberellin monocarboxylic acid. It is a conjugate acid of a gibberellin A9(1-).",0,,2026-03-23 22:54:35.531302,2026-03-23 22:54:40.478702
41,160478,"4,5,7-trihydroxynaphthalene-1,2-dione","Flaviolin is a hydroxy-1,4-naphthoquinone that is 1,4-naphthoquinone having three hydroxy substituents placed at the 2-, 5- and 7-positions. It has a role as an Aspergillus metabolite. It is a conjugate acid of a flaviolin-2-olate.",0,,2026-03-23 22:54:41.487392,2026-03-23 22:54:46.923307
57,811,2-methylidenebutanedioic acid,"Itaconic acid is a dicarboxylic acid that is methacrylic acid in which one of the methyl hydrogens is substituted by a carboxylic acid group. It has a role as a fungal metabolite and a human metabolite. It is a dicarboxylic fatty acid, a dicarboxylic acid and an olefinic compound. It is functionally related to a succinic acid. It is a conjugate acid of an itaconate(2-).",0,,2026-03-23 22:54:47.932751,2026-04-20 23:35:22
60,68152,3-hydroxypropanoic acid,3-hydroxypropionic acid is a 3-hydroxy monocarboxylic acid that is propionic acid in which one of the hydrogens attached to the terminal carbon is replaced by a hydroxy group. It has a role as an Escherichia coli metabolite and a human metabolite. It is an omega-hydroxy-short-chain fatty acid and a 3-hydroxy monocarboxylic acid. It is functionally related to a propionic acid. It is a conjugate acid of a 3-hydroxypropionate.,0,,2026-03-23 22:55:16.405163,2026-04-20 23:35:24
61,444539,(E)-3-phenylprop-2-enoic acid,Cinnamic acid is a monocarboxylic acid that consists of acrylic acid bearing a phenyl substituent at the 3-position. It is found in Cinnamomum cassia. It has a role as a plant metabolite. It is a member of cinnamic acids and a member of styrenes. It is a conjugate acid of a cinnamate.,0,,2026-03-23 22:55:25.799307,2026-04-20 23:35:26
65,196,hexanedioic acid,"Adipic acid is an alpha,-dicarboxylic acid that is the 1,4-dicarboxy derivative of butane. It has a role as a food acidity regulator and a human xenobiotic metabolite. It is a dicarboxylic fatty acid and an alpha,omega-dicarboxylic acid. It is a conjugate acid of an adipate(1-).",0,,2026-03-23 22:55:35.605407,2026-04-20 23:35:27
67,126041,"(6S)-2-methyl-1,4,5,6-tetrahydropyrimidine-6-carboxylic acid","Ectoine is a carboxamidine heterocycle obtained by formal condensation of (2S)-2,4-diaminobutanoic acid with acetic acid. It has a role as an osmolyte. It is a monocarboxylic acid, a carboxamidine and a member of 1,4,5,6-tetrahydropyrimidines. It is a conjugate acid of an ectoinate. It is a tautomer of an ectoine zwitterion.",0,,2026-03-23 22:56:00.539795,2026-04-20 23:35:29
68,6057,(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,"L-tyrosine is an optically active form of tyrosine having L-configuration. It has a role as a micronutrient, a nutraceutical, an EC 1.3.1.43 (arogenate dehydrogenase) inhibitor and a fundamental metabolite. It is a L-alpha-amino acid, a tyrosine, an erythrose 4-phosphate/phosphoenolpyruvate family amino acid and a proteinogenic amino acid. It is functionally related to a L-tyrosinal. It is a conjugate base of a L-tyrosinium. It is a conjugate acid of a L-tyrosinate(1-). It is an enantiomer of a D-tyrosine. It is a tautomer of a L-tyrosine zwitterion.",0,,2026-03-23 22:56:07.360087,2026-04-20 23:35:30
69,441036,"(3R,4R,5R)-2-(hydroxymethyl)tetrahydropyran-2,3,4,5-tetrol",Psicopyranose is a monosaccharide.,0,,2026-03-23 22:56:37.436603,2026-03-23 22:56:44.728777
71,5962,"(2S)-2,6-diaminohexanoic acid","L-lysine is an L-alpha-amino acid; the L-isomer of lysine. It has a role as a micronutrient, an anticonvulsant, a nutraceutical, a mouse metabolite, a Saccharomyces cerevisiae metabolite, a plant metabolite, an Escherichia coli metabolite, a human metabolite and an algal metabolite. It is a L-alpha-amino acid, an aspartate family amino acid, a lysine and a proteinogenic amino acid. It is a conjugate base of a L-lysinium(1+). It is a conjugate acid of a L-lysinate. It is an enantiomer of a D-lysine. It is a tautomer of a L-lysine zwitterion and a L-Lysine zwitterion.",0,,2026-03-23 22:56:45.738367,2026-04-20 23:35:34
72,6305,(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid,"L-tryptophan is the L-enantiomer of tryptophan. It has a role as a micronutrient, an antidepressant, a nutraceutical, a mouse metabolite, a Saccharomyces cerevisiae metabolite, a plant metabolite, an Escherichia coli metabolite and a human metabolite. It is a L-alpha-amino acid, a tryptophan, an erythrose 4-phosphate/phosphoenolpyruvate family amino acid and a proteinogenic amino acid. It is a conjugate base of a L-tryptophanium. It is a conjugate acid of a L-tryptophanate. It is an enantiomer of a D-tryptophan. It is a tautomer of a L-tryptophan zwitterion.",0,,2026-03-23 22:57:06.414994,2026-04-20 23:35:37
74,7768,azepan-2-one,Epsilon-caprolactam is a member of the class of caprolactams that is azepane substituted by an oxo group at position 2. It has a role as a human blood serum metabolite.,0,,2026-03-23 22:57:35.582487,2026-04-20 23:35:39
75,2153,"1,3-dimethyl-7H-purine-2,6-dione","Theophylline is a dimethylxanthine having the two methyl groups located at positions 1 and 3. It is structurally similar to caffeine and is found in green and black tea. It has a role as a bronchodilator agent, a vasodilator agent, a drug metabolite, an anti-asthmatic drug, an EC 3.1.4.* (phosphoric diester hydrolase) inhibitor, an immunomodulator, a muscle relaxant, an anti-inflammatory agent, an adenosine receptor antagonist, a fungal metabolite and a human blood serum metabolite.",0,,2026-03-23 22:58:03.529916,2026-04-20 23:35:41
76,165580,"(2S,3S,4R,5R,6R)-5-amino-2-(aminomethyl)-6-[(2R,3S,4R,5S)-5-[(1R,2R,3S,5R,6S)-3,5-diamino-2-[(2S,3R,4R,5S,6R)-3-amino-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-hydroxycyclohexyl]oxy-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl]oxyoxane-3,4-diol","Paromomycin is an amino cyclitol glycoside that is the 1-O-(2-amino-2-deoxy-alpha-D-glucopyranoside) and the 3-O-(2,6-diamino-2,6-dideoxy-beta-L-idopyranosyl)-beta-D-ribofuranoside of 4,6-diamino-2,3-dihydroxycyclohexane (the 1R,2R,3S,4R,6S diastereoisomer). It is obtained from various Streptomyces species. A broad-spectrum antibiotic, it is used (generally as the sulfate salt) for the treatment of acute and chronic intestinal protozoal infections, but is not effective for extraintestinal protozoal infections. It is also used as a therapeutic against visceral leishmaniasis. It has a role as an antiparasitic agent, an anthelminthic drug, an antiprotozoal drug and an antibacterial drug. It is an amino cyclitol glycoside and an aminoglycoside antibiotic. It is functionally related to a streptamine. It is a conjugate base of a paromomycin(5+).",0,,2026-03-23 22:58:19.193171,2026-04-20 23:35:42
77,,,,1,"HTTPSConnectionPool(host='pubchem.ncbi.nlm.nih.gov', port=443): Max retries exceeded with url: /rest/pug/compound/name/adenosyl-cobalamin/cids/JSON (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED",2026-03-25 22:51:53.762954,
78,774,2-(1H-imidazol-5-yl)ethanamine,"Histamine is a member of the class of imidazoles that is 1H-imidazole substituted at position C-4 by a 2-aminoethyl group. It has a role as a neurotransmitter, a mouse metabolite and a human metabolite. It is a member of imidazoles and an aralkylamino compound. It is a conjugate base of a histaminium.",0,,2026-03-23 22:58:29.414536,2026-04-20 23:35:44
79,445154,"5-[(E)-2-(4-hydroxyphenyl)ethenyl]benzene-1,3-diol","Resveratrol is a stilbenol that is stilbene in which the phenyl groups are substituted at positions 3, 5, and 4' by hydroxy groups. It has a role as a glioma-associated oncogene inhibitor, a geroprotector, an antioxidant and a phytoalexin. It is a polyphenol, a member of resorcinols and a stilbenol.",0,,2026-03-23 22:58:50.898127,2026-04-20 23:35:46
81,,,,1,未找到匹配的PubChem化合物,2026-03-25 22:51:57.793355,
83,5280343,"2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one","Quercetin is a pentahydroxyflavone having the five hydroxy groups placed at the 3-, 3'-, 4'-, 5- and 7-positions. It is one of the most abundant flavonoids in edible vegetables, fruit and wine. It has a role as a geroprotector, an antioxidant, an antibacterial agent, an antineoplastic agent, a protein kinase inhibitor, a chelator, a radical scavenger, an Aurora kinase inhibitor, a plant metabolite, a phytoestrogen and an EC 1.10.99.2 [ribosyldihydronicotinamide dehydrogenase (quinone)] inhibitor. It is a pentahydroxyflavone and a 7-hydroxyflavonol. It is a conjugate acid of a quercetin-7-olate.",0,,2026-03-23 22:59:08.764874,2026-04-20 23:14:10
89,10442,"propane-1,3-diol","Propane-1,3-diol is the simplest member of the class of propane-1,3-diols, consisting of propane in which one hydrogen from each methyl group is substituted by a hydroxy group. A colourless, viscous, water-miscible liquid with a high (210C) boiling point, it is used in the synthesis of certain polymers and as a solvent and antifreeze. It has a role as a metabolite and a protic solvent.",0,,2026-03-23 22:59:23.540641,2026-04-20 23:14:11
94,,,,1,"HTTPSConnectionPool(host='pubchem.ncbi.nlm.nih.gov', port=443): Max retries exceeded with url: /rest/pug/compound/name/monoterpenes/cids/JSON (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_W",2026-03-25 22:52:00.121812,
95,22311,1-methyl-4-prop-1-en-2-ylcyclohexene,Limonene is a monoterpene that is cyclohex-1-ene substituted by a methyl group at position 1 and a prop-1-en-2-yl group at position 4 respectively. It has a role as a human metabolite. It is a cycloalkene and a p-menthadiene.,0,,2026-03-24 23:42:23.784614,2026-04-20 23:14:14
97,6912,"(2R,4S)-pentane-1,2,3,4,5-pentol","Ribitol is a pentitol (five-carbon sugar alcohol) having meso-configuration, being derived from ribose by reduction of the carbonyl group. It occurs naturally in the plant Adonis vernalis. It has a role as a plant metabolite, a human metabolite and a Daphnia magna metabolite.",0,,2026-03-24 23:42:34.060606,2026-04-20 23:14:16
98,892,"cyclohexane-1,2,3,4,5,6-hexol","Myo-inositol is an inositol having myo- configuration. It has a role as a member of compatible osmolytes, a nutrient, an EC 3.1.4.11 (phosphoinositide phospholipase C) inhibitor, a mouse metabolite, a Saccharomyces cerevisiae metabolite, an Escherichia coli metabolite, a human metabolite and a Daphnia magna metabolite.",0,,2026-03-24 23:42:54.306652,2026-04-20 23:14:19
99,,,,1,未找到匹配的PubChem化合物,2026-03-25 22:52:04.131498,
101,6568,butan-2-ol,Butan-2-ol is a secondary alcohol that is butane substituted by a hydroxy group at position 2. It derives from a hydride of a butane.,0,,2026-03-24 23:43:16.310527,2026-04-20 23:14:23
116,263,butan-1-ol,"Butan-1-ol is a primary alcohol that is butane in which a hydrogen of one of the methyl groups is substituted by a hydroxy group. It it produced in small amounts in humans by the gut microbes. It has a role as a protic solvent, a mouse metabolite and a human metabolite. It is a primary alcohol, a short-chain primary fatty alcohol and an alkyl alcohol.",0,,2026-03-24 23:43:37.707305,2026-04-20 23:14:26
122,,,,1,"HTTPSConnectionPool(host='pubchem.ncbi.nlm.nih.gov', port=443): Max retries exceeded with url: /rest/pug/compound/name/Hydrogen%20(H2)/cids/JSON (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EO",2026-03-25 22:52:11.883675,
135,6540685,"(2S)-4-[(E)-2-[(2S)-2-carboxy-6-hydroxy-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,3-dihydroindol-1-yl]ethenyl]-2,3-dihydropyridine-2,6-dicarboxylic acid",,0,,2026-03-23 23:07:08.783984,2026-04-20 23:14:28
137,135438599,"(2S,4E)-4-[2-[(1S)-4-amino-1-carboxy-4-oxo-butyl]iminoethylidene]-2,3-dihydro-1H-pyridine-2,6-dicarboxylic acid",Vulgaxanthin-I is a non-proteinogenic alpha-amino acid.,0,,2026-03-23 23:09:32.888165,2026-03-23 23:10:13.177042
147,135494300,3-[2-hydroxy-5-(1H-indol-3-yl)-1H-pyrrol-3-yl]indol-2-one,"Deoxyviolacein is a member of the class of oxindoles resulting from formal oxidative coupling between the 3-position of 1,3-dihydro-2H-indol-2-one and the 3-position of 1,3-dihydro-2H-pyrrol-2-one, which is substituted at the 5 position by a 1H-indol-3-yl group, where the newly-formed double bond has E configuration. It has a role as an antibacterial agent, an antifungal agent and a bacterial metabolite. It is a member of pyrroles, a member of oxindoles and an olefinic compound. It is functionally related to a proviolacein.",0,,2026-03-23 23:10:14.188464,2026-03-23 23:12:37.001819
150,,,,1,未找到匹配的PubChem化合物,2026-03-25 22:52:15.920658,
158,,,,1,"HTTPSConnectionPool(host='pubchem.ncbi.nlm.nih.gov', port=443): Max retries exceeded with url: /rest/pug/compound/name/roseoflavin%20(RoF)/cids/JSON (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTE",2026-03-25 22:52:17.812499,
159,493570,"7,8-dimethyl-10-[(2S,3S,4R)-2,3,4,5-tetrahydroxypentyl]benzo[g]pteridine-2,4-dione","Riboflavin is D-Ribitol in which the hydroxy group at position 5 is substituted by a 7,8-dimethyl-2,4-dioxo-3,4-dihydrobenzo[g]pteridin-10(2H)-yl moiety. It is a nutritional factor found in milk, eggs, malted barley, liver, kidney, heart, and leafy vegetables, but the richest natural source is yeast. The free form occurs only in the retina of the eye, in whey, and in urine; its principal forms in tissues and cells are as flavin mononucleotide and flavin-adenine dinucleotide. It has a role as an antioxidant, a cofactor, a photosensitizing agent, an anti-inflammatory agent, a mouse metabolite, a plant metabolite, an Escherichia coli metabolite, a food colouring, a fundamental metabolite and a human urinary metabolite. It is a vitamin B2 and a flavin. It is a conjugate acid of a riboflavin(1-).",0,,2026-03-23 23:13:05.778884,2026-04-20 23:14:37
160,,,,1,"HTTPSConnectionPool(host='pubchem.ncbi.nlm.nih.gov', port=443): Max retries exceeded with url: /rest/pug/compound/name/flavin%20mononucleotide%20(FMN)/cids/JSON (Caused by SSLError(SSLEOFError(8, '[SS",2026-03-25 22:52:21.824133,
163,,,,1,"HTTPSConnectionPool(host='pubchem.ncbi.nlm.nih.gov', port=443): Max retries exceeded with url: /rest/pug/compound/name/Roseoflavin%20mononucleotide%20(RoFMN)/cids/JSON (Caused by SSLError(SSLEOFError(",2026-03-25 22:52:25.841919,
164,,,,1,"HTTPSConnectionPool(host='pubchem.ncbi.nlm.nih.gov', port=443): Max retries exceeded with url: /rest/pug/compound/name/8-demethyl-8-amino-riboflavin%20mononucleotide%20(8AFMN)/cids/JSON (Caused by SSL",2026-03-25 22:52:29.861354,
167,64945,"(1S,2R,4aS,6aR,6aS,6bR,8aR,10S,12aR,14bS)-10-hydroxy-1,2,6a,6b,9,9,12a-heptamethyl-2,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydro-1H-picene-4a-carboxylic acid",Ursolic acid is a pentacyclic triterpenoid that is urs-12-en-28-oic acid substituted by a beta-hydroxy group at position 3. It has a role as a geroprotector and a plant metabolite. It is a pentacyclic triterpenoid and a hydroxy monocarboxylic acid. It is a conjugate acid of an ursolate. It derives from a hydride of an ursane.,0,,2026-03-23 23:15:44.707033,2026-04-20 23:14:41
174,163263,"(1R,2R,4aS,8aS)-1-[(3R)-3-hydroxy-3-methylpent-4-enyl]-2,5,5,8a-tetramethyl-3,4,4a,6,7,8-hexahydro-1H-naphthalen-2-ol","Sclareol is a labdane diterpenoid that is labd-14-ene substituted by hydroxy groups at positions 8 and 13. It has been isolated from Salvia sclarea. It has a role as an antimicrobial agent, an antifungal agent, a fragrance, an apoptosis inducer and a plant metabolite.",0,,2026-03-23 23:15:55.982731,2026-04-20 23:14:42
175,3034394,"(3R)-5-[(1S,4aS,8aS)-5,5,8a-trimethyl-2-methylene-decalin-1-yl]-3-methyl-pent-1-en-3-ol","Manool is a labdane diterpenoid in which the labdane skeleton has double bonds at positions 8(17) and 14 and carries an R-hydroxy group at position 13. It has a role as an antibacterial agent, an antineoplastic agent and a plant metabolite. It is a tertiary alcohol and a labdane diterpenoid.",0,,2026-03-23 23:16:07.407365,2026-03-23 23:16:16.067366
176,12305526,"5-(1,2,4a,5-tetramethyl-2,3,4,7,8,8a-hexahydronaphthalen-1-yl)-3-methyl-pent-1-en-3-ol",18-Deoxysagittarol is a diterpenoid.,0,,2026-03-23 23:16:17.075669,2026-03-23 23:16:24.742887
