tag_id,tag_name,tag_category,pubchem_classification,mesh_id
27,"CIR ingredient: Theophylline; MEDICATION (VET); MEDICATION; Theophylline is an old drug experiencing a renaissance owing to its beneficial antiinflammatory effects in chronic respiratory diseases, such as asthma and chronic obstructive pulmonary disease. ",use_and_manufacturing,Uses,
28,Use (kg; approx.) in Germany (2009): >250; Consumption (g per capita; approx.) in Germany (2009): 0.00305; Calculated removal (%): 92.1; Pharmaceuticals,use_and_manufacturing,Uses,
29,MEDICATION,use_and_manufacturing,Uses,
30,"Nutritional supplement; Resveratrol is a pigment from red wine that ... inhibits LDL /low-density lipoprotein/ oxidation; Resveratrol is found in red wine, red grape skins, purple grape juice, mulberries, and in smaller amounts in peanuts. It is used as a",use_and_manufacturing,Uses,
31,"Dietary supplement; Quercetin has been used in ... dyes and as a veterinary drug.; Medicine, reported formation of epoxy resins on mixing with epichlorohydrin; Free-radical inhibiting antioxidant useful in cosmetics intended to protect the product from ox",use_and_manufacturing,Uses,
32,"Used as an intermediate in the production of polyesters; [Hawley]; 1,3-Propanediol /PDO/ is mainly used for making polytrimethylene terephthalate polymer, which is used in fibers and fabrics, for example, carpets, textiles, engineering thermoplastics, non",use_and_manufacturing,Uses,
33,"Used in flavorings, fragrances, cosmetics and as a solvent and wetting agent; Also used to make resins, insecticides, insect repellants, and animal repellants; [HSDB] Used as a dissolving agent for gallstones and gutta-percha; [ChemIDplus] Used in floor w",use_and_manufacturing,Uses,
34,Cosmetics -> Skin conditioning; Humectant,use_and_manufacturing,Uses,
35,Cosmetics -> Antistatic; Hair conditioning; Humectant,use_and_manufacturing,Uses,
36,"Used as a solvent, paint remover, and cleaner; also used to manufacture other organic compounds; [ACGIH]; Painting (Solvents) [Category: Paint]; For Sec-butyl alcohol (USEPA/OPP Pesticide Code: 001502) there are 0 labels match. /SRP: Not registered for cu",use_and_manufacturing,Uses,
37,"CIR ingredient: n-Butyl Alcohol; Used as a solvent and chemical intermediate; [ACGIH]; Semiconductor Manufacturing [Category: Industry]; Painting (Solvents) [Category: Paint]; ... is employed as a solvent for paints, lacquers & varnishes, natural & synthe",use_and_manufacturing,Uses,
38,Cosmetics -> Cosmetic colorant,use_and_manufacturing,Uses,
39,"Present in minute amounts in all plant and animal cells and especially in milk, eggs, malted barley, liver, kidney, heart, and leafy vegetables; Used as a food coloring and vitamin (enzyme cofactor); [Merck Index] Used as a medication, animal feed supplem",use_and_manufacturing,Uses,
40,"... Pharmacological activities including anti-inflammatory effects ...; As emulsifying agent in pharmaceuticals, foods /Methyl ester acetate/; Cosmetics product ingredient: Urs-12-en-28-oic acid, 3-hydroxy-, (3beta)- (Ursolic Acid); Product count: 2",use_and_manufacturing,Uses,
41,"Fragrance Ingredients; Flavouring Agent -> FLAVOURING_AGENT;  -> JECFA Functional Classes; Flavoring Agents -> JECFA Flavorings Index; Intermediate; Cosmetics product ingredient: 1-Naphthalenepropanol, a-ethenyldecahydro- 2-hydroxy-a,2,5,5,8a-pentamethyl-",use_and_manufacturing,Uses,
42,Fragrance Ingredients; Odor agents; Fragrance; Information on 29 consumer products that contain Ambroxide in the following categories is provided:; • Auto Products; • Commercial / Institutional; • Inside the Home,use_and_manufacturing,Uses,
43,Fragrance Ingredients; Flavouring Agent -> FLAVOURING_AGENT;  -> JECFA Functional Classes; Flavoring Agents -> JECFA Flavorings Index,use_and_manufacturing,Uses,
44,"Main low molecular weight thiol found in living plant and animal cells; [Merck Index] A tripeptide with many roles in cells. It conjugates to drugs to make them more soluble for excretion, is a cofactor for some enzymes, is involved in protein disulfide b",use_and_manufacturing,Uses,
45,Used in wool processing and making plastic films and sheets; Also added to poultry feeds and to certain antibiotics to increase their effectiveness; [HSDB]; Textiles (Fiber & Fabric Manufacturing) [Category: Industry]; Farming (Feed Additives) [Category: ,use_and_manufacturing,Uses,
46,"Natural dye from the root of Curcuma longa; [Merck Index] Used for preparing curcuma paper, detecting boron, dyeing and flavoring food, dyeing fabrics (cotton, wool, and silk), and coloring oils and waxes; Also used as a biological stain and acid-base ind",use_and_manufacturing,Uses,
47,"CIR ingredient: Phenethyl Alcohol; Found in many natural essential oils; [Merck Index] Used as a flavoring agent in foods and beverages; as a fragrance in perfumes, cosmetics, detergents, synthetic rose oils, and soaps; and as an antibacterial and preserv",use_and_manufacturing,Uses,
48,"The predominant use of acetaldehyde is as an intermediate in the synthesis of other chemicals.; Used in synthesis of organic chemicals, resins, dyes, pesticides, disinfectants, cosmetics, gelatin, glue, lacquers, varnishes, casein products, explosives, an",use_and_manufacturing,Uses,
49,"For nutritional supplementation, also for treating dietary shortage or imbalance",use_and_manufacturing,Uses,
50,"CIR ingredient: Succinic Acid; Found in fossils, fungi, and lichens; [Merck Index] Present in nearly all plant and animal tissues; Used to make lacquers, dyes, esters for perfumes, alkyd resins, pharmaceuticals, plasticizers, lubricants, and pesticides; A",use_and_manufacturing,Uses,
51,Intermediate; Cleaning agent,use_and_manufacturing,Uses,
52,Flavouring Agent -> FLAVOURING_AGENT;  -> JECFA Functional Classes; Flavoring Agents -> JECFA Flavorings Index,use_and_manufacturing,Uses,
53,Fragrance Ingredients,use_and_manufacturing,Uses,
54,Fragrance Ingredients; Flavouring Agent -> FLAVOURING_AGENT;  -> JECFA Functional Classes; Flavoring Agents -> JECFA Flavorings Index; Fragrance; Information on 1 consumer products that contain Ethyl Caprate in the following categories is provided:; • Per,use_and_manufacturing,Uses,
55,Used as a flavoring agent; [FDA] Used to flavor animal feeds; [ExPub: EFSA - FEEDAP] Used as a solvent/co-solvent in pesticide products; [ExPub: EPA - RDD] Permitted for use as an inert ingredient in non-food pesticide products; [EPA]; Farming (Pesticides,use_and_manufacturing,Uses,
56,Used to make artificial fruit flavors; [Merck Index] Used as a flavoring agent; [FDA] Used to flavor animal feeds; [ExPub: EFSA - FEEDAP] Permitted for use as an inert ingredient in non-food pesticide products; [EPA]; Farming (Feed Additives) [Category: I,use_and_manufacturing,Uses,
57,FLAVOURING_AGENT;  -> JECFA Functional Classes; Flavoring Agents -> JECFA Flavorings Index,use_and_manufacturing,Uses,
59,"Medicine (antiinflammatory agent), also used as the acetate and sodium succinate salts; THERAP CAT: Glucocorticoid; THERAP CAT (VET): Glucocorticoid; MEDICATION (VET); MEDICATION; Use (kg; approx.) in Germany (2009): >1000; Use (kg) in USA (2002): 21000; ",use_and_manufacturing,Uses,
142,"Occurs naturally in mammals--concentration increases in serum and muscle following exercise; [Merck Index] Used in the agricultural, chemical, leather processing, pharmaceuticals, and cosmetics industries; Used as an electroplating agent, food/feed additi",use_and_manufacturing,Uses,
143,"Used as a solvent; for organic synthesis (introduction of active amyl group); in lubricants, plasticizers, and additives for oils and paints; as a frothing agent in ore flotation; as a chemical intermediate; [HSDB] Used to manufacture liquid crystals, pla",use_and_manufacturing,Uses,
145,"Most important provitamin D, usually obtained from yeast; Used as a vitamin; [Merck Index] Used as a vitamin and to make vitamin D2 and cortisone; [HSDB]; CHEM INT FOR VITAMIN D2; Antirachitic vitamin; when irradiated with UV light, it has vitamin D activ",use_and_manufacturing,Uses,
146,"Used as a flavoring agent (foods, beverages, and chewing gums), fragrance ingredient (soaps, perfumes, creams, and lotions), and solvent (cellulosic lacquers); [HSDB]; Painting (Solvents) [Category: Paint]; Manufacturing artificial rum; perfumery; the alc",use_and_manufacturing,Uses,
147,Fragrance Ingredients; Flavoring Agents -> JECFA Flavorings Index; Flavouring Agent -> FLAVOURING_AGENT;  -> JECFA Functional Classes; Fragrance; Information on 4 consumer products that contain Ethyl Octanoate in the following categories is provided:; • A,use_and_manufacturing,Uses,
148,"CIR ingredient: Isoamyl Acetate; Used as an additive to aerosols and cosmetics and to fit-test respirators; [ACGIH]; In alcohol solutions as a pear flavor in mineral waters and syrups; as solvent for old oil colors, for tannins, nitrocellulose, lacquers, ",use_and_manufacturing,Uses,
149,"Used as a flavoring agent; [FDA] Used to make fragrances and perfumes, in industrial, professional, and consumer cleaning products, professional and consumer waxes and polishes, and consumer air care, biocidal products, personal care products, and cosmeti",use_and_manufacturing,Uses,
150,"Used as solvent in lacquers, paint removers, and liquid chromatography; used in organic synthesis; [ACGIH]; Painting (Solvents) [Category: Paint]; For Isobutyl alcohol (USEPA/OPP Pesticide Code: 001507) there are 0 labels match. /SRP: Not registered for c",use_and_manufacturing,Uses,
151,"CIR ingredient: Caproic Acid; Used to make esters for artificial flavors, hexyl derivatives, rubber chemicals, varnish driers, resins, and pharmaceuticals; Also used in analytical chemistry and insect attractants; [HSDB] Used to make perfumes; [CAMEO]; ..",use_and_manufacturing,Uses,
152,"CIR ingredient: Caprylic Acid; Used to make dyes, drugs, perfumes, flavors, antiseptics, and fungicides; Also used in ore separations, hydraulic fluids, machining oils, flotation agents, and wood preservatives; [HSDB]; Metal Machining [Category: Heat or M",use_and_manufacturing,Uses,
155,"CIR ingredient: Propyl Alcohol; Used as a solvent, antiseptic, and chemical intermediate; [ACGIH] Used as a solvent in inks, pesticides, and lacquers; [HSDB]; Metal Degreasing [Category: Clean]; Painting (Solvents) [Category: Paint]; Using Disinfectants o",use_and_manufacturing,Uses,
157,CIR ingredient: Ribose; Used as a flavoring agent; [FDA],use_and_manufacturing,Uses,
159,"Used as a solvent, paint stripper, and intermediate in the photographic and pharmaceutical industries; [ACGIH]; Painting (Solvents) [Category: Paint]; Photographic Processing [Category: Other]; SYNTHETIC FLAVOR; INTERMEDIATE IN PREPN OF PHARMACEUTICALS; F",use_and_manufacturing,Uses,
160,"An essential cofactor in fatty acid metabolism; Highest concentrations in red meat, dairy, beans, and avocado; Used as a vitamin; [Merck Index]; Used to treat carnitine deficiency; Used therapeutically for myocardial injury after ischemia and reperfusion ",use_and_manufacturing,Uses,
164,"CIR ingredient: Sucrose; Obtained from cane sugar, sugar beet, and sorghum; Used as a sweetener; [ChemIDplus]; For Sucrose (USEPA/OPP Pesticide Code: 000023) there are 0 labels match. /SRP: Not registered for current use in the U.S., but approved pesticid",use_and_manufacturing,Uses,
165,"CIR ingredient: Glycolic Acid; Used as a cheap organic acid to manufacture adhesives; to dye, print, and crease-proof textiles; to clean metals, water wells, and dairy equipment; and to delime hides and process furs; Also used in leather dyeing, adhesives",use_and_manufacturing,Uses,
166,"A constituent of plants; Can be isolated form green or roasted coffee; [Merck Index] No known significance as commercial product; [HSDB] Caffeic acid is found in many fruits, vegetables, seasonings and beverages consumed by humans, principally in conjugat",use_and_manufacturing,Uses,
167,"Nutrition, biochemical research /Thioctic acid, dl-form/; THERAPEUTIC CATEGORY: Treatment of liver disease; antidote to poisonous mushrooms (Amanita species).; Use (kg; approx.) in Germany (2009): >7500; Consumption (g per capita; approx.) in Germany (200",use_and_manufacturing,Uses,
168,"CIR ingredient: 4-Hydroxybenzoic Acid; Used as an intermediate for dyes, fungicides, cosmetics, and drugs; as a food preservative, corrosion inhibitor, anti-oxidant, and emulsifier; as a component in the manufacture of polyester; and as a constituent of l",use_and_manufacturing,Uses,
169,"CIR ingredient: Citric Acid; A Compound from citrus fruits that is an intermediate in the tricarboxylic acid (Krebs) cycle. It is used as an acidifying agent in foods, beverages, and pharmaceuticals. Citrate chelates calcium ions and prevents blood clotti",use_and_manufacturing,Uses,
171,Cosmetics -> Skin conditioning; Antistatic; Hair conditioning; Emollient; Information on 1 consumer products that contain Lanosterol in the following categories is provided:; • Personal Care,use_and_manufacturing,Uses,
172,"CIR ingredient: Trehalose; Disaccharide present in fungi, bacteria, yeasts, and insects; Used to stabilize cells during freeze-drying and air-drying, as a sweetener and stabilizer in foods, and as an additive in cosmetics; [Merck Index] Used as a texturiz",use_and_manufacturing,Uses,
174,EPA Safer Chemical Functional Use Classes -> Processing Aids and Additives; Safer Chemical Classes ->  Green circle - The chemical has been verified to be of low concern; Cosmetics -> Hair conditioning,use_and_manufacturing,Uses,
175,"CIR ingredient: Cetyl Alcohol; Used in cosmetics, pharmaceuticals, perfumes, and shampoos (emollient and emulsion modifier) and to make face creams, lotions, lipsticks, toilet preparations, and antiperspirant sticks; Also used as a coupling agent, foam st",use_and_manufacturing,Uses,
178,"CIR ingredient: Methyl Alcohol; Methanol is primarily used as an industrial solvent for inks, resins, adhesives, and dyes. It is also used as a solvent in the manufacture of cholesterol, streptomycin, vitamins, hormones, and other pharmaceuticals. Methano",use_and_manufacturing,Uses,
179,"CIR ingredient: Xylose; Found in many plant materials, especially wood, straw, and hulls; Used in tanning, dyeing, diabetic foods, and medical diagnosis (intestinal function); [Merck Index] Used as a flavoring agent and nutritive sweetener; [FDA]; Leather",use_and_manufacturing,Uses,
180,"CIR ingredient: Glucose; Formed in photosynthesis; Produced commercially by hydrolysis of cornstarch with acids or enzymes; Used in foods and medicines and as a source of certain amino acids by fermentation; Also called dextrose, but glucose is the prefer",use_and_manufacturing,Uses,
181,CIR ingredient: Arabinose; Monosaccharide; The L-form is  found in plants and mycobacteria; Used as a nutrient in bacterial culture media; [Merck Index] Used as a flavoring agent; [FDA],use_and_manufacturing,Uses,
182,"CIR ingredient: Galactose; Component of many oligo- and polysaccharides in pectins, gums, and mucilages; Used in determination of hepatic function; [Merck Index]; Use (kg; approx.) in Germany (2009): >25; Consumption (g per capita; approx.) in Germany (20",use_and_manufacturing,Uses,
183,CIR ingredient: Mannose,use_and_manufacturing,Uses,
184,"In Oriental medicines, ephedra is the chief drug for treatment of asthma and bronchitis. It has been used for thousands of years in traditional Chinese medicine as a primary component of multi-herb formulas prescribed to treat bronchial asthma, cold and f",use_and_manufacturing,Uses,
185,"Optically pure amines used as resolving agents include alkaloids such as ...pseudoephedrine.; Because pseudoephedrine has been used in the clandestine synthesis of methamphetamine and methcathinone, both CNS stimulants with great potential for habituation",use_and_manufacturing,Uses,
186,"CIR ingredient: Propyl Acetate; Used as a solvent, flavoring agent, and chemical intermediate; [ACGIH]; Painting (Solvents) [Category: Paint]; Plastic Composites Manufacturing [Category: Industry]; Flavoring agents, perfumery, solvent for nitrocellulose a",use_and_manufacturing,Uses,
187,"CIR ingredient: Isobutyl Acetate; Solvent uses include nitrocellulose, thinners, sealants, lacquers, and perfumes; [Hawley]; Painting (Solvents) [Category: Paint]; Working with Glues and Adhesives [Category: Other]; Solvent for nitrocellulose; in thinners",use_and_manufacturing,Uses,
189,Fragrance Ingredients; Information on 1 consumer products that contain Sabinene in the following categories is provided:; • Inside the Home,use_and_manufacturing,Uses,
190,"Intermediate in sugar metabolism and alcoholic fermentation; [Merck Index] Used as flavoring agent or adjuvant; [FDA]; For nutritional supplementation, also for treating dietary shortage or imbalance; Fragrance Ingredients; Flavouring Agent -> FLAVOURING_",use_and_manufacturing,Uses,
191,"CIR ingredient: Fumaric Acid; An essential biochemical in the cellular respiration of plants and animals; [Merck Index] Used as a fortifier (paper size resins, unsaturated polyester resins, and alkyd surface coating resins), food antioxidant, dye mordant,",use_and_manufacturing,Uses,
192,In the USA 85% of natural gas is methane. [Merck Index] Produced by decaying matter in swamps and marshes; [Hawley]; Mining [Category: Industry]; Sewer and Wastewater Treatment [Category: Industry]; Farming (Respiratory Hazards) [Category: Industry]; Smok,use_and_manufacturing,Uses,
193,"CIR ingredient: Silica; Used as a filler in rubber products, paints, animal feeds, pesticides, insulation materials, and cosmetics; [Rom, p. 527] Silica nanoparticle applications include leukemia cell biomarkers, cancer therapy, drug delivery, mechanical ",use_and_manufacturing,Uses,
194,"CIR ingredient: Oleic Acid; Used to make soaps and detergents, to prepare turkey red oil, and to waterproof fabrics; Also used in polishing compounds, oiling wool, thickening lubricating oils, anionic and nonionic surfactants, plasticizers, waxes, ointmen",use_and_manufacturing,Uses,
195,Fragrance Ingredients; Fragrance; Information on 2 consumer products that contain Longifolene in the following categories is provided:; • Inside the Home,use_and_manufacturing,Uses,
197,CIR ingredient: Diethyl Succinate; Permitted for use as an inert ingredient in non-food pesticide products; [EPA] Used as flavoring agent or adjuvant; [FDA]; EPA Safer Chemical Functional Use Classes -> Solvents; Safer Chemical Classes ->  Green circle - ,use_and_manufacturing,Uses,
198,"CIR ingredient: Mannitol; Occurs in many plants; Used in electronics (with boric acid to make dry electrolytic condensers for radio applications), plastics (for making artificial resins and plasticizers), in the food industry (anticaking, free-flow agent,",use_and_manufacturing,Uses,
199,"Occurs naturally in fruits and fermented foods; Used as a food additive (non-nutritive sweetener); [Merck Index] Used in pharmaceuticals and to make erythrityl tetranitrate; [HSDB] Used as a flavor enhancer, humectant, carrier, and sweetener for foods; [J",use_and_manufacturing,Uses,
201,"Permitted for use as an inert ingredient in non-food pesticide products; [EPA] Used as flavoring agent or adjuvant; [FDA] Has been found in certain fruits and cooked foods; Only produced as a constituent of Primary Amyl Acetate, which is used as a direct ",use_and_manufacturing,Uses,
202,"Use (kg; approx.) in Germany (2009): >100; Consumption (g per capita; approx.) in Germany (2009): 0.00122; Calculated removal (%): 75.1; S-Adenosylmethionine (SAMe) is used as a drug in Europe for the treatment of depression, liver disorders, fibromyalgia",use_and_manufacturing,Uses,
203,"Naturally occurs in some essential oils, honeys, and teas; Used to make penicillin G, penicillin derivatives, and its esters; Also used as a fungicide, flavoring agent, lab reagent, and starting material for synthetic perfumes; [HSDB] A metabolite of phen",use_and_manufacturing,Uses,
204,"CIR ingredient: m-Cresol; Used to make synthetic resins; Also used in disinfectants, photographic developers, explosives, fungicides, and as an industrial solvent; [Merck Index] Used in combination with 2,4-xylenol (CAS# 105-67-9) as a bactericide/bacteri",use_and_manufacturing,Uses,
205,"Used to carry aroma of butter and other food flavors; [Hawley] Diacetyl occurs naturally in butter, cheese, yogurt, milk, coffee, cocoa, honey, tobacco smoke, beer, wine, and a number of flowers and plant extracts; [ACGIH]; See Reference #2 for the OSHA N",use_and_manufacturing,Uses,
206,"CIR ingredient: Glycyrrhizic Acid; The active principle extracted from licorice root; Used as a humectant in tobacco and as a flavor in confectionery and pharmaceuticals; [Hawley]; Foaming agent in root beer and mouthwashes, as sweetener in chocolate, coc",use_and_manufacturing,Uses,
207,Chemical probe to explore signal transduction pathways; Currently Genistein is being studied in clinical trials as a treatment for prostate cancer.; Cosmetics product ingredient: Genistein; Reason for Listing: Listed as a reproductive or developmental tox,use_and_manufacturing,Uses,
208,"Constituent of oils of citronella, neroli, cyclamen, lemon grass, tuberose, rose, musk, balsam Peru, and tolu; [Merck Index] An insect hormone; Used in perfumes and as a flavoring agent; [Hawley]; For farnesol (USEPA/OPP Pesticide Code: 128910) ACTIVE pro",use_and_manufacturing,Uses,
209,"The most important provitamin A; Found in plants and animals and used to color foods yellow, as an ultraviolet screen, and as a vitamin A precursor; [Merck Index] Used as flavoring agent, antioxidant, color, nutritional supplement, processing aid, and sur",use_and_manufacturing,Uses,
210,"Ca2+ channel blocker and antiplatelet agent /Protopine hydrochloride/; MEDICATION; It has been found to inhibit histamine H1 receptors and platelet aggregation, and acts as an opioid analgesic.",use_and_manufacturing,Uses,
211,"Sanguinarine is found in opium poppy. Consumption of Sanguinarine, present in poppy seeds and in the oil of <i>Argemone mexicana</i> which has been used as an adulterant for mustard oil in India, has been linked to development of glaucoma. It is also foun",use_and_manufacturing,Uses,
212,"CIR ingredient: Caffeine; Occurs naturally in tea leaves, coffee beans, cocoa beans, mate leaves, guarana paste, and kola nuts; [Merck Index] Used in beverages, cardiac and respiratory stimulants, and diuretics; [HSDB] Also used in cosmetics; [eChemPortal",use_and_manufacturing,Uses,
213,Fragrance Ingredients; Flavouring Agent -> FLAVOURING_AGENT;  -> JECFA Functional Classes; Flavoring Agents -> JECFA Flavorings Index; Information on 1 consumer products that contain Nerolidol in the following categories is provided:; • Personal Care; Inf,use_and_manufacturing,Uses,
214,Active component in the flotation reagent Quebracho; [HSDB] Precursor of the aromatic nucleus of tocopherols synthesized by algae and higher plants; Also a precursor in the biosynthesis of the naphthoquinone ring of vitamin K by plants and bacteria; L-tyr,use_and_manufacturing,Uses,
215,"CIR ingredient: Propylene Glycol; Used in antifreeze and deicing solutions for cars, boats, and aircraft; also used as a solvent for paints and plastics and to create harmless, artificial smoke for training and theatrical purposes; [ATSDR ToxFAQs]; Painti",use_and_manufacturing,Uses,
216,CIR ingredient: Glycyrrhetinic Acid; Cosmetics -> Skin conditioning,use_and_manufacturing,Uses,
217,"CIR ingredient: Ethylene Glycol; Ethylene glycol is used as antifreeze in cooling and heating systems, in hydraulic brake fluids, as an industrial humectant, as an ingredient of electrolytic condensers, as a solvent in the paint and plastics industries, i",use_and_manufacturing,Uses,
218,"Medicine (cathartic); This compound is used as a cathartic and a dye intermediate.; Emodin is a mycotoxin and naturally occurring anthraquinone present in the roots and barks of numerous plants, such as rhubarb. It is an active ingredient of Chinese herbs",use_and_manufacturing,Uses,
219,The major hallucinogenic constituent of the sacred Mexican mushroom Teonanacatl; A controlled substance and psychomimetic; [Merck Index] Alkaloid found in certain mushrooms; [Hawley]; Hallucinogens; The use of hallucinogenic mushrooms predates the arrival,use_and_manufacturing,Uses,
220,Psilocin is a psychedelic (hallucinogenic) mushroom alkaloid. It is found in most psychedelic mushrooms together with its phosphorylated counterpart psilocybin. Psilocin is the pharmacologically active agent in the body after ingestion of psilocybin or ps,use_and_manufacturing,Uses,
221,Use (kg; approx.) in Germany (2009): >2500; Consumption (g per capita; approx.) in Germany (2009): 0.0305; Excretion rate: 1; Calculated removal (%): 46.4,use_and_manufacturing,Uses,
222,"Naturally occurs in the volatiles of pineapple essence; Used to make fragrance ingredients; [IUCLID] A flavoring agent that naturally occurs in roasted chicken and wine; [EFSA] Used in fuel formulation, as a monomer in polymer production, and to make larg",use_and_manufacturing,Uses,
223,"Notoginsenoside-R1 has been shown to exhibit antioxidant, anti-inflammatory, antiapoptotic, and immunostimulatory properties.; MEDICATION",use_and_manufacturing,Uses,
224,CIR ingredient: Kefiran,use_and_manufacturing,Uses,
226,Information on 1 consumer products that contain Chrysanthemum Parthenium Extract in the following categories is provided:; • Personal Care,use_and_manufacturing,Uses,
227,CIR ingredient: Fucose; Found in seaweed; [Merck Index],use_and_manufacturing,Uses,
230,"In beverages to impart grapefruit flavor; in fragrance compositions with other citrus oils.; Potential bio-based pesticide to kill ants, termites, mosquitoes, cockroaches, and ticks, including Ixodes scapularis (blacklegged tick), whose bite can transmit ",use_and_manufacturing,Uses,
231,An intermediate in the biosynthesis of ... /CNS depressant/ analgesics such as morphine and codeine.,use_and_manufacturing,Uses,
232,"Analgesics, Opioid; Antitussive Agents; Narcotics; Codeine (DEA Code Number: 9050) is a Schedule II controlled substance.; Schedule II Controlled Substance: (A) The drug or other substance has a high potential for abuse; (B) The drug or other substance ha",use_and_manufacturing,Uses,
233,"This is a /DEA:/ Schedule II controlled substance.; ... semisynthetic opioid antitussive and analgesic; MEDICATION (VET); MEDICATION; Analgesics, Opioid; Antitussive Agents; Narcotics; Use (kg) in USA (2002): 28600; Consumption (g per capita) in the USA (",use_and_manufacturing,Uses,
234,Oxycodone (DEA Code Number: 9143) is a Schedule II controlled substance.; Schedule II Controlled Substance: (A) The drug or other substance has a high potential for abuse; (B) The drug or other substance has a currently accepted medical use in treatment i,use_and_manufacturing,Uses,
235,"Analgesics, Opioid; Narcotics; Hydromorphone (DEA Code Number: 9150) is a Schedule II controlled substance.; Schedule II Controlled Substance: (A) The drug or other substance has a high potential for abuse; (B) The drug or other substance has a currently ",use_and_manufacturing,Uses,
